Nome,POPULAÇÃO,PIB,TAMANHO,DENSIDADE DEMOGRÁFICA,DENSIDADE DE DINHEIRO,PIB PERCAPITA,SCORE HACKEADO
Cerra Corá,11000,64820,393,27.98982188,164.9363868,5.892727273,2.720401168
Angicos,12000,80791,741,16.19433198,109.0296896,6.732583333,1.188747322
Equador,6000,42596,264,22.72727273,161.3484848,7.099333333,2.603333356
São TOmé,11000,56276,862,12.76102088,65.28538283,5.116,0.4262181211
Santo Antonio do Salto da Onça,24000,145319,301,79.73421927,482.7873754,6.054958333,23.30836499
Caraubas,22000,219980,1095,20.0913242,200.8949772,9.999090909,4.035879185
Patu,11000,77120,319,34.48275862,241.7554859,7.010909091,5.844571496
Pureza,9500,54028,503,18.88667992,107.4115308,5.687157895,1.153723695
Santana dos Matos,14000,89315,1419,9.866102889,62.94221283,6.379642857,0.3961722155
São Vicente,6500,36398,197,32.99492386,184.7614213,5.599692308,3.413678281
Monte Alegre,22500,129522,210,107.1428571,616.7714286,5.756533333,38.04069951
Tangará,12700,95253,356,35.6741573,267.5646067,7.50023622,7.159081878
Passa e Fica,13200,68623,42,314.2857143,1633.880952,5.198712121,266.9566967
Taipu,12000,95436,352,34.09090909,271.125,7.953,7.350876563
Tenente Laurentino,6000,36521,74,81.08108108,493.527027,6.086833333,24.35689264
Varzea,5200,29691,72,72.22222222,412.375,5.709807692,17.00531406
Apodi,36000,403347,1602,22.47191011,251.7771536,11.20408333,6.339173505
Ceara Mirim,72000,477325,724,99.44751381,659.288674,6.629513889,43.46615557
Macau,31000,722244,788,39.34010152,916.5532995,23.29819355,84.00699508
Nova Cruz,38000,263019,277,137.1841155,949.5270758,6.921552632,90.16016677
São Paulo do Potengi,15843,101274,240,66.0125,421.975,6.392349934,17.80629006
Jucurutu,18925,94480,933,20.28403001,101.2647374,4.992338177,1.025454704
Carnaúbas,8177,37848,245,33.3755102,154.4816327,4.628592393,2.386457483
Cruzeta,7967,42422,295,27.00677966,143.8033898,5.324714447,2.067941493
São José,4634,,174,,,,